Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LPC,LRC
Industri Karet dan Plastik,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,2978.038015,0.000335792
Industri Galian Bukan Logam,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,1890.058249,0.000529084
Industri Logam Mesin Alat-alat Angkutan dan Industri Pengolahan Lainya,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,86.91881689,0.011504989
Listrik,Pengadaan Listrik Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,954.1132169,0.001048094
Air Minum,Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,179.6477245,0.00556645
Bangunan,Konstruksi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,1986.8,0,0,0,0,14.325,3848.189865,2990.624269,0.000334378
Perdagangan,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,7174.870386,0.000139375
Jasa Akomodasi,Penyediaan Akomodasi dan Makan Minum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,286.541101,0.003489901
Restoran/Rumah Makan,Penyediaan Akomodasi dan Makan Minum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,1761.709652,0.00056763
Angkutan Jalan,Transportasi dan Pergudangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,3197.710114,0.000312724
Angkutan Sungai,Transportasi dan Pergudangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,372.9898073,0.002681038
Angkutan Laut,Transportasi dan Pergudangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,0,1431.864865,4401.479605,0.000227196
Angkutan Udara,Transportasi dan Pergudangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,0,0,0,0,0,0,57.3,1489.164865,1048.983922,0.000953303
Jasa Penunjang Angkutan dan Pergudangan,Transportasi dan Pergudangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,612.1755773,0.001633518
Komunikasi,Informasi dan Komunikasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,916.6998042,0.00109087
Lembaga Keuangan Usaha Persewaan dan Jasa Perusahaan,Jasa Keuangan dan Asuransi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,3431.183777,0.000291445
Jasa Pemerintah dan Pertahanan,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,3626.119541,0.000275777
Jasa Hiburan dan Rekreasi,Jasa lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,98.74964516,0.010126619
Jasa Pendidikan,Jasa Pendidikan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,293.7135616,0.003404678
Jasa Kesehatan,Jasa Kesehatan dan Kegiatan Sosial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,189.5158133,0.005276605
Jasa Kemasyarakatan dan Perorangan,Jasa lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.864865,415.2,0,0,0,0,0,0,1847.064865,531.1654283,0.001882653
Kegiatan yang Tidak Jelas Batasannya,Jasa lainnya,34027.7,372853.8,0,4702.4,10384.45,40323.15,73259.9,296336.7,249341.4,106530.9,0,122313.6,372089.4,207008.025,17249.2,2863.72973,415.2,45696.4,29081.325,12416.12,29425.92,0,501.375,2026820.695,0.004081269,245.0218441
